ID,名称,効果,評価点,種類,カード評価
A097,新入生,1手番につき1回までと、各収穫につき1回まで、「パンを焼く」アクションのたびに、そのアクションの代わりに、職業コストなしで職業を1枚出せる。,8.5,職業,強すぎるカード
A100,後見人,各ラウンドの帰宅フェイズに人物3人以上を累積スペースから戻すたびに、食料1を払えばボーナス1点を得る。,7,職業,弱すぎるカード
A107,待ち構え,建設資材がちょうど5/4/3ある建設資材の累積スペースを、あなたのそのラウンドの1/2/3番目の人物で使うたびに食料1を得る。,1,職業,弱すぎるカード
A131,工芸指南,大きい進歩の「家具製作所」か「製陶所」か「カゴ製作所」を建設するたびに、職業を2枚まで職業コストなしで出せる。,9,職業,強すぎるカード
A133,ほら吹き,得点計算のとき、自分の前に進歩カードが5/6/7/8/9/10枚あれば、2/3/4/5/7/9点ボーナスを得る。,10,職業,強すぎるカード
A144,係争物取り扱い人,このカードの上に葦3とレンガ4を置く。次に牧場3/畑タイル5を達成したプレイヤーはカードに置いた葦3/レンガ4を得る。（さかのぼって適用しない）,2,職業,弱すぎるカード
A151,吟遊楽人,各帰宅フェイズのはじめに、ラウンド1から4のアクションスペースカードが1か所だけ空いていればその効果を得られる。（これは人物を配置せず、「アクションスペースを使う」とはみなさない）,3.33,職業,弱すぎるカード
A154,主計官,ほかのプレイヤーが食料の累積スペースを使うたびに、そのプレイヤーにあなたのストックから小麦1を渡せばボーナス1点を得る。,2.83,職業,弱すぎるカード
A167,種畜買い付け人,木/レンガ/石の部屋を1部屋以上建設して、同じ手番中に厩も1軒以上建設するたびに、追加で羊/猪/牛を1得る。,3,職業,弱すぎるカード
B101,建具大工,各収穫で、（あなたを含む）いずれかのプレイヤーが「家具製作所」かその改良進歩を持っていれば、あなたは食料2でボーナス1点だけ購入できる。,5,職業,弱すぎるカード
B117,情報屋,このカードを出したとき、すぐに木材1を得る。各労働フェイズの後で、あなたのストックの石材がレンガより多ければ、木材1を得る。,9.33,職業,強すぎるカード
B132,地主,未使用の農場スペースが無くなり次第、収穫する野菜1つにつきボーナス1点を得る。,9.5,職業,強すぎるカード
B139,森林科学者,各ラウンドの帰宅フェイズにゲームボード上に木材が1つも残っていなければ、食料1を得る。ラウンド5からは代わりに食料2を得る。,3.17,職業,弱すぎるカード
B147,緑衣の狩人,木材の累積スペースを使うたびに、その後で小麦1を払えば猪1を得る。,1.5,職業,弱すぎるカード
B151,小百姓,このカードを出したときすぐに石材1を得る。ちょうど2部屋の木の家に住んでいる限り、（「集会所」を除く）アクションスペースはすべて、占有されていないものとして扱う。,7.83,職業,強すぎるカード
B161,軟弱者,労働フェイズであなたの手番のたびに、品物5以上の累積スペースが1か所以上あるのに、それらを使わなければ野菜1を得る。,8.5,職業,強すぎるカード
C099,ガーデンデザイナー,得点計算の開始時に、空いている畑に好きな数の食料を置くことができる。食料1/4/7がある畑1つにつきボーナス1/2/3点を得る。,10,職業,強すぎるカード
C102,森林保護者,木材の累積スペースを使うたび、その後で自分のストックからそのスペースに木材4を置くことで、石材2とレンガ1と葦1と小麦1を得ることができる。,8.5,職業,強すぎるカード
C125,夜間労働者,各労働フェイズの開始前、自分のストックにない建設資材の累積スペースに人物1を置くことができる。（その後、スタートプレイヤーからゲームを続ける。）,8,職業,強すぎるカード
C154,双子の研究者,ちょうど同じ数の品物がある同じ種類の品物の累積スペース2つのうち1つを使用するたび、食料1を払うことでボーナス1点も購入できる。,4.5,職業,弱すぎるカード
C157,資源分析者,各ラウンドの開始前、あなたの所有する建築資材2種類以上が他の全てのプレイヤーより多ければ、食料1を得る。,2.5,職業,弱すぎるカード
C158,森林活動家,あなたが人物を置く前、累積スペースに木材が合計8以上ある場合、そのたびに食料1を得る。,4.5,職業,弱すぎるカード
D092,児童相談員,ラウンド5以降、家に空き部屋があれば、人物のアクションの終わりに、その人物で「家族を増やす」アクションを行える。そうするなら、マイナス2点を得る。,7,職業,強すぎるカード
D097,無心する学生,このカードを出したとき、すぐに物乞い1を得る。収穫のはじめに職業コストを支払うことなく職業1を出してもよい。,9.33,職業,強すぎるカード
D101,菓子職人,アクションスペース「穀物活用」を使用するたび、その後に食料1を支払ってボーナス1点を購入できる。その食料はそのアクションスペースに置く。（に使用したプレイヤーが得る。）,4.5,職業,弱すぎるカード
D116,樹木検査人,このカードはあなただけが使える累積スペース「木材1」である。アクションスペースカード「石切り場」が新たに公開されるたび、このカードの上の木材を全て捨てなければならない。,5.17,職業,弱すぎるカード
D137,交易教師,アクションスペース「授業」を使用するたび、その後で異なる種類の建設資材を2つまで購入できる。小麦、石材、羊、猪は食料1。牛と野菜は食料2必要。,9.5,職業,強すぎるカード
D140,大口叩き,累積スペースから、建設資材を4つ以上取るか、家畜を4頭以上取るたび、追加で食料1を得る。,1.33,職業,弱すぎるカード
D165,猪追い,家畜の累積スペースを使用するたび、そのスペースの上下に隣接するアクションスペースをあなたが占有しているなら、追加で猪1を得る。,3.5,職業,弱すぎるカード
E108,ブラックベリー農家,柵を建設するたびに、建設した柵の本数まで、残りのラウンドのラウンドスペースに食料1ずつを置く。各ラウンドのはじめに、その食料を得る。,5,職業,弱すぎるカード
